Index;Route_Instance;Supernet;Subnet;ASN;AS_Path;Destination_Interface;Local;Router
192;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.128.0/19;397375;852 397375;xe-0/0/0:2.0;No;cr1.mgmt.kmlp8
193;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.253.9/32;271;271;lo0.1;Yes;cr1.mgmt.kmlp8
194;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.16/29;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
195;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.26/31;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
196;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.27/32;271;271;lt-0/0/0.30;Yes;cr1.mgmt.kmlp8
197;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.30/31;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
198;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.32/28;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
199;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.48/28;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
200;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.64/26;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
201;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.128/31;271;271;lt-1/0/0.56;No;cr1.mgmt.kmlp8
202;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.128/32;271;271;lt-1/0/0.56;Yes;cr1.mgmt.kmlp8
203;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.136/31;271;271;lt-1/0/0.62;No;cr1.mgmt.kmlp8
204;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.136/32;271;271;lt-1/0/0.62;Yes;cr1.mgmt.kmlp8
205;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.140/30;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
206;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.144/30;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
207;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.148/30;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
208;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.212/30;271;271;lt-1/1/0.72;No;cr1.mgmt.kmlp8
209;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.214/32;271;271;lt-1/1/0.72;Yes;cr1.mgmt.kmlp8
210;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.218/31;271;271;lt-0/0/0.204;No;cr1.mgmt.kmlp8
211;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.218/32;271;271;lt-0/0/0.204;Yes;cr1.mgmt.kmlp8
212;TRANSIT-KMLP8.inet.0;207.23.0.0/16;207.23.255.228/30;271;271;lt-0/0/0.30;No;cr1.mgmt.kmlp8
